word,hint1,hint2,hint3
python,Named after a comedy group,Used widely in AI,It’s a programming language with a snake logo
computer,Has memory but no mind,Can perform millions of calculations in seconds,An electronic device used for processing data
keyboard,It has no strings but many keys,Used to communicate with machines,You type on it
monitor,Shows you whats happening inside the box,Used for visual output,It’s a computer screen
internet,Exists everywhere but cant be seen,Connects the world,You use it to browse websites
variable,It changes often,Stores data temporarily,A container that holds a value in programming
function,Can be called but never answers,A reusable piece of code,Used to perform a specific task
loop,Goes in circles until stopped,Makes code repeat,A structure that runs code multiple times
condition,Makes decisions,Checks if something is true or false,Used in if-else statements
syntax,Its picky about commas and colons,Rules of writing code,Defines correct programming structure
compiler,Understands multiple languages,Turns your code into something computers understand,Translates high-level code to machine code
debugger,Finds the invisible mistakes,Used by programmers to fix issues,Tool for finding errors in code
programmer,Makes machines “think”,Writes and tests code,A person who creates software
algorithm,Has steps but no legs,A logical recipe for solving problems,A step-by-step way to get results
machine,Does work endlessly,Needs energy to run,A man-made device that performs tasks
database,Remembers everything forever,Stores massive data efficiently,Structured collection of information
network,Invisible links between systems,Transfers data between devices,A connection of computers
server,Always gives but never takes,Provides services or data to others,A powerful computer serving clients
software,It runs but doesnt move,Controls what computers do,Programs and applications
hardware,Its tough but dumb,Physical parts of a computer,Things like keyboard and monitor
binary,Speaks only two words 0 and 1,Used in machine logic,A base-2 number system
integer,No decimals allowed,Represents whole numbers,Number type without fractions
string,Ties characters together,Used in text processing,A series of letters or words in code
boolean,Sees only black or white,True or False values,Logical data type
operator,Works between two sides,Used for arithmetic or logic,Symbols 
memory,Remembers short-term,Stores running data,Temporary data storage
storage,Doesnt forget easily,Used for saving files,Permanent data saving
graphics,Brings visuals to life,Used in design and gaming,Images or visuals displayed on screen
science,Explains the unexplained,Uses experiments to find truth,Study of nature and facts
engineer,Makes ideas real,Applies logic to problems,Builds machines or software
